id,slug,assessment_type,title,level,course_id,module_id,passing_score,xp_reward,question_count
f9eb680a-8c85-500d-981e-e8ab14032c08,seviye-tespit-ai-engineering-v1,placement,AI Engineering Seviye Tespit Testi,,,,0,40,12
559e27d2-5894-5d14-a0b2-a00483e0117f,python-ai-temelleri-modul-1-quiz,module_quiz,Python çalışma ortamı Ara Quiz,beginner,f61cc498-ce42-5ae7-bf73-85f1597324b3,c72e7573-aaa6-55ca-8f7a-b1108c178e24,70,25,3
e3f5a681-9014-5d74-b30e-154e9127c29a,python-ai-temelleri-modul-2-quiz,module_quiz,Veri yapıları ve dosya işlemleri Ara Quiz,beginner,f61cc498-ce42-5ae7-bf73-85f1597324b3,7cedb17a-5c15-5042-b28f-b5d4df367f7a,70,25,3
74a2e9d8-df3d-5dc5-bb11-36534555dfbc,python-ai-temelleri-modul-3-quiz,module_quiz,AI kod kalitesi Ara Quiz,beginner,f61cc498-ce42-5ae7-bf73-85f1597324b3,6f17b9f5-1372-5d3a-a25e-0729361c6dc1,70,25,3
e5e1dd5d-423c-54c3-a67b-df5b8a234e13,python-ai-temelleri-final-sinavi,course_exam,Python ile AI Temelleri Final Sınavı,beginner,f61cc498-ce42-5ae7-bf73-85f1597324b3,,75,60,5
367ae176-1861-5870-89be-e3c4c01f4187,numpy-pandas-veri-modul-1-quiz,module_quiz,NumPy temelleri Ara Quiz,beginner,1d31e98b-0fc5-586e-9896-61758b1e35c6,aa8cfb67-6291-5f8a-a83d-9b18c19199fa,70,25,3
6125d789-f21c-5ce4-af9d-e0568c906d12,numpy-pandas-veri-modul-2-quiz,module_quiz,Pandas veri akışı Ara Quiz,beginner,1d31e98b-0fc5-586e-9896-61758b1e35c6,6e11b35e-f7b3-58cb-8e57-06987cbc7ad3,70,25,3
c2f9d345-18a5-5763-a414-8b945c6b9409,numpy-pandas-veri-modul-3-quiz,module_quiz,Feature engineering başlangıcı Ara Quiz,beginner,1d31e98b-0fc5-586e-9896-61758b1e35c6,a058f7e7-8879-5a5e-be3b-b28ddefdbf32,70,25,3
2975af7b-58ff-59fa-a319-38bcab01911c,numpy-pandas-veri-final-sinavi,course_exam,NumPy & Pandas ile Veri İşleme Final Sınavı,beginner,1d31e98b-0fc5-586e-9896-61758b1e35c6,,75,60,5
3777aa0c-e9a5-568f-9be4-76f6276b145e,matematik-istatistik-ai-modul-1-quiz,module_quiz,Lineer cebir sezgisi Ara Quiz,beginner,7ebace68-cb4a-5d5b-a8d2-268b497b5791,3ae0a119-c7bb-5e62-bac4-f75fea8a487d,70,25,3
936652c2-35fb-53fa-b87d-090680cf79bc,matematik-istatistik-ai-modul-2-quiz,module_quiz,Olasılık ve dağılımlar Ara Quiz,beginner,7ebace68-cb4a-5d5b-a8d2-268b497b5791,d052e5d8-61ad-5338-8b23-eababe308ef9,70,25,3
04d5b981-8470-54a7-8ebe-c2a05d33617c,matematik-istatistik-ai-modul-3-quiz,module_quiz,Metrikler ve güven Ara Quiz,beginner,7ebace68-cb4a-5d5b-a8d2-268b497b5791,c62db22a-2c91-51cc-9e6c-efa9da562d14,70,25,3
21752fc7-b279-5c5b-bfb9-7af520b41276,matematik-istatistik-ai-final-sinavi,course_exam,AI için Matematik ve İstatistik Final Sınavı,beginner,7ebace68-cb4a-5d5b-a8d2-268b497b5791,,75,60,5
0a81a644-fd66-56e8-991b-21eb9abaaccc,makine-ogrenmesi-temelleri-modul-1-quiz,module_quiz,Denetimli öğrenme Ara Quiz,beginner,67f36abd-070e-5795-a6e0-36b3b851c709,e6832acf-5f40-5831-bc2c-580c7cdeafd5,70,25,3
e08a6ea7-786f-5be9-946c-235467d6def3,makine-ogrenmesi-temelleri-modul-2-quiz,module_quiz,Denetimsiz öğrenme Ara Quiz,beginner,67f36abd-070e-5795-a6e0-36b3b851c709,28d968f5-a5a7-52d3-a6bc-88108bbac498,70,25,3
4de14f5e-9268-599e-a402-46a0c87fd0da,makine-ogrenmesi-temelleri-modul-3-quiz,module_quiz,Pipeline ve validasyon Ara Quiz,beginner,67f36abd-070e-5795-a6e0-36b3b851c709,ec62f943-94b9-5094-b36e-7c5dc46c8c04,70,25,3
4bb7617b-db05-5735-9fb7-b0247816e2b4,makine-ogrenmesi-temelleri-final-sinavi,course_exam,Makine Öğrenmesi Temelleri Final Sınavı,beginner,67f36abd-070e-5795-a6e0-36b3b851c709,,75,60,5
73235f9b-5917-5268-b304-19ece9b4f59d,neural-networks-101-modul-1-quiz,module_quiz,Perceptron temelleri Ara Quiz,intermediate,bcbfa4cb-70c6-528e-9e8e-e035e48606fb,968856e6-d60d-52b6-8372-4e3375e58521,70,25,3
78a07218-8ced-5f30-bcf1-0a0ef3a3709f,neural-networks-101-modul-2-quiz,module_quiz,Loss ve optimizasyon Ara Quiz,intermediate,bcbfa4cb-70c6-528e-9e8e-e035e48606fb,63b4a6d0-6348-53b4-8e7d-e12f31917d46,70,25,3
9bd88d66-b55d-5746-831e-24c360e6852d,neural-networks-101-modul-3-quiz,module_quiz,Backpropagation Ara Quiz,intermediate,bcbfa4cb-70c6-528e-9e8e-e035e48606fb,b16c9abe-836f-5d19-88bf-e39b3e294430,70,25,3
95c006c7-eb63-55ea-a98e-bff49cbfe8e3,neural-networks-101-final-sinavi,course_exam,Neural Networks 101 Final Sınavı,intermediate,bcbfa4cb-70c6-528e-9e8e-e035e48606fb,,75,60,5
7b418a24-ecba-513f-bf66-48476183b5d1,model-degerlendirme-deneyler-modul-1-quiz,module_quiz,Metrik seçimi Ara Quiz,intermediate,1baef71c-6bb1-5c08-9b0d-1e1fc9095ae3,18a06440-e256-5a5c-a6c6-6c6b00ef46bc,70,25,3
c66672e5-aeb3-563e-8e8f-e32072d7492f,model-degerlendirme-deneyler-modul-2-quiz,module_quiz,Deney izleme Ara Quiz,intermediate,1baef71c-6bb1-5c08-9b0d-1e1fc9095ae3,0818cf44-c247-54e4-9beb-4ecac9dcc8cc,70,25,3
a6486757-a055-5b22-9248-71a80a09c9b5,model-degerlendirme-deneyler-modul-3-quiz,module_quiz,Hata analizi Ara Quiz,intermediate,1baef71c-6bb1-5c08-9b0d-1e1fc9095ae3,60290600-f8c9-52bc-a080-32ce0e5877f3,70,25,3
7618777e-388b-5edf-ae00-024964695002,model-degerlendirme-deneyler-final-sinavi,course_exam,Model Değerlendirme ve Deney Yönetimi Final Sınavı,intermediate,1baef71c-6bb1-5c08-9b0d-1e1fc9095ae3,,75,60,5
