id,lesson_id,title,resource_type,url,storage_path,sort_order
6540c8df-4cc3-550c-8eb2-03d46ec235e7,78c050b3-e5e0-57b3-99de-0b9a20b890eb,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
ff71651c-41c0-5036-ac2c-15ff01154529,78c050b3-e5e0-57b3-99de-0b9a20b890eb,Ders çalışma föyü,worksheet,,course-media/worksheets/python-ai-temelleri-m1-l1.md,2
3618dc2e-3558-5fdc-b147-5b67c5df2636,4b8dc8ff-a694-5381-896b-b1a11e19178d,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
978c25b8-28b0-5fb5-863b-cccba8ee9772,4b8dc8ff-a694-5381-896b-b1a11e19178d,Ders çalışma föyü,worksheet,,course-media/worksheets/python-ai-temelleri-m1-l2.md,2
3cb42528-15a9-5961-8464-ebac15d8c1a3,bb3b04a1-70e4-58e0-a9dd-79d9db347f30,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
445c6adc-38c1-5032-a37a-bbf716572218,bb3b04a1-70e4-58e0-a9dd-79d9db347f30,Ders çalışma föyü,worksheet,,course-media/worksheets/python-ai-temelleri-m1-l3.md,2
6743c1b0-ff23-529e-9998-44a42d500586,0369807a-3291-542f-8957-769e10325422,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
4949ffff-aecb-5706-ac68-a959ad2b06cc,0369807a-3291-542f-8957-769e10325422,Ders çalışma föyü,worksheet,,course-media/worksheets/python-ai-temelleri-m2-l1.md,2
ce8e7135-bdab-5fd9-82b3-86d05dcb77d1,506cf978-81f2-5eeb-b768-cad251e24599,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
69e75c73-f1cd-53cc-8192-9a7d6f4dee81,506cf978-81f2-5eeb-b768-cad251e24599,Ders çalışma föyü,worksheet,,course-media/worksheets/python-ai-temelleri-m2-l2.md,2
834e6dfb-f974-5c5a-b6eb-29e51d25c82f,c0769359-4998-5ab3-9616-5767ba0585f2,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
d401177b-28dc-5a8c-96e9-261d3d15907d,c0769359-4998-5ab3-9616-5767ba0585f2,Ders çalışma föyü,worksheet,,course-media/worksheets/python-ai-temelleri-m2-l3.md,2
99b8b53c-a89a-5d05-bac2-96c1ebf13bb1,82804846-a16d-51ba-85dc-159400929ba5,Python resmi öğreticisi,link,https://docs.python.org/3/tutorial/index.html,,1
