id,lesson_id,slug,title,language,difficulty,xp_reward,status
47c7c3e2-5dcb-57ca-96cf-f35cc97d42aa,bb3b04a1-70e4-58e0-a9dd-79d9db347f30,python-ai-temelleri-m1-lab,Mini Lab: Python çalışma ortamı,python,beginner,30,published
be1e59a9-031c-54cd-89e4-246aa079b2be,c0769359-4998-5ab3-9616-5767ba0585f2,python-ai-temelleri-m2-lab,Mini Lab: Veri yapıları ve dosya işlemleri,python,beginner,30,published
e8c5535e-abba-5808-bff7-c77b6fed2d67,b46745fa-4d8b-53d5-a0b4-93316f466585,python-ai-temelleri-m3-lab,Mini Lab: AI kod kalitesi,python,beginner,30,published
3f08264e-f487-5f57-85df-72e88a170fcc,a9cf8393-0590-5fef-b53f-ac516eac032a,numpy-pandas-veri-m1-lab,Mini Lab: NumPy temelleri,python,beginner,30,published
bbaa2778-5df7-594d-85d5-2aed335035ab,b95466f3-6ac3-5605-a3f8-febf7cdb4f69,numpy-pandas-veri-m2-lab,Mini Lab: Pandas veri akışı,python,beginner,30,published
f622945c-b5c8-53ea-9235-c13efa9dc9ec,8d61f073-44db-51c2-9e31-7afa59ba3544,numpy-pandas-veri-m3-lab,Mini Lab: Feature engineering başlangıcı,python,beginner,30,published
25f5895c-9447-5be0-b911-342e95a13b4f,ff1364d9-20f1-5d82-af06-6ea32d066d7b,matematik-istatistik-ai-m1-lab,Mini Lab: Lineer cebir sezgisi,python,beginner,30,published
77fc359a-146e-5c93-93b5-217cd3d1b34e,a5e85991-dff7-5b09-8b6e-13a7a0a825f1,matematik-istatistik-ai-m2-lab,Mini Lab: Olasılık ve dağılımlar,python,beginner,30,published
f09ec8a2-d8a9-5e04-ae29-8b0f044d7152,cc29d04a-0ba9-5b5d-857d-9c9f34244c9b,matematik-istatistik-ai-m3-lab,Mini Lab: Metrikler ve güven,python,beginner,30,published
39bde9c1-bc5a-5c96-8731-42e679b33d12,a538664c-4c1c-5561-a1f7-48571cc09d10,makine-ogrenmesi-temelleri-m1-lab,Mini Lab: Denetimli öğrenme,python,beginner,30,published
8da83b52-6826-545d-ae0c-4c67ff3b3d1d,e5b13d55-160d-5d57-8dd1-6a6c7a9d1b29,makine-ogrenmesi-temelleri-m2-lab,Mini Lab: Denetimsiz öğrenme,python,beginner,30,published
c768f01e-4936-51d3-acca-b0936060d5d6,48d774e6-bc03-5602-8891-9f5b7bbd1311,makine-ogrenmesi-temelleri-m3-lab,Mini Lab: Pipeline ve validasyon,python,beginner,30,published
174cc889-607d-5b7b-8ff1-c86bad21de4d,6e4c9822-4972-5059-a4f1-a5d67b154182,neural-networks-101-m1-lab,Mini Lab: Perceptron temelleri,python,intermediate,30,published
f5ed7a36-103c-53ce-b148-9c894a317ff7,7bb29e24-b2b2-572f-b0bc-bc34a19bf10e,neural-networks-101-m2-lab,Mini Lab: Loss ve optimizasyon,python,intermediate,30,published
78bce975-b57a-5e3f-8a33-f036307e32df,52aaa647-177b-5a52-a15f-79e9c5cd61e9,neural-networks-101-m3-lab,Mini Lab: Backpropagation,python,intermediate,30,published
034b655f-2c97-55f6-b6c1-2c0db469f44c,f93cfbf9-b7c4-5d4f-9ad0-220bed016986,model-degerlendirme-deneyler-m1-lab,Mini Lab: Metrik seçimi,python,intermediate,30,published
af3a7320-8f9e-5447-beb6-a58ec6d268c2,914ec2d8-1a95-5e4f-ae33-ccafc53f2c0a,model-degerlendirme-deneyler-m2-lab,Mini Lab: Deney izleme,python,intermediate,30,published
725bef31-109d-542b-8d57-cf2dd9d90e50,b24e6dbb-59fb-50d1-b2f0-abda52fbd2e5,model-degerlendirme-deneyler-m3-lab,Mini Lab: Hata analizi,python,intermediate,30,published
a97c073b-dac9-50d5-a1d7-f6d250120185,ad7b1414-ec2c-53a7-8a57-334ddd6e7137,deep-learning-pytorch-m1-lab,Mini Lab: Tensor ve autograd,python,advanced,30,published
82676da3-d8e2-5a3e-ad5a-67784d5db68c,8bc5b1c5-6252-5802-a2e5-3609cd0e0d17,deep-learning-pytorch-m2-lab,Mini Lab: Eğitim döngüsü,python,advanced,30,published
