id,module_id,slug,title,lesson_type,sort_order,estimated_minutes,xp_reward,status
78c050b3-e5e0-57b3-99de-0b9a20b890eb,c72e7573-aaa6-55ca-8f7a-b1108c178e24,python-ai-temelleri-m1-l1,"Python, paketler ve notebook akışı",video,1,16,20,published
4b8dc8ff-a694-5381-896b-b1a11e19178d,c72e7573-aaa6-55ca-8f7a-b1108c178e24,python-ai-temelleri-m1-l2,"Değişkenler, veri tipleri ve kontrol akışı",reading,2,16,20,published
bb3b04a1-70e4-58e0-a9dd-79d9db347f30,c72e7573-aaa6-55ca-8f7a-b1108c178e24,python-ai-temelleri-m1-l3,"Fonksiyonlar, modüller ve hata yönetimi",mixed,3,16,20,published
0369807a-3291-542f-8957-769e10325422,7cedb17a-5c15-5042-b28f-b5d4df367f7a,python-ai-temelleri-m2-l1,"Liste, sözlük, küme ve tuple",video,1,16,22,published
506cf978-81f2-5eeb-b768-cad251e24599,7cedb17a-5c15-5042-b28f-b5d4df367f7a,python-ai-temelleri-m2-l2,List comprehension ve iterator mantığı,reading,2,16,22,published
c0769359-4998-5ab3-9616-5767ba0585f2,7cedb17a-5c15-5042-b28f-b5d4df367f7a,python-ai-temelleri-m2-l3,JSON/CSV okuma ve küçük veri pipeline,mixed,3,16,22,published
82804846-a16d-51ba-85dc-159400929ba5,6f17b9f5-1372-5d3a-a25e-0729361c6dc1,python-ai-temelleri-m3-l1,"Tip ipuçları, test ve tekrar kullanılabilir fonksiyonlar",video,1,16,24,published
647963f3-44dd-5a37-bc44-23913e27f6d8,6f17b9f5-1372-5d3a-a25e-0729361c6dc1,python-ai-temelleri-m3-l2,Debugging ve performans ölçümü,reading,2,16,24,published
b46745fa-4d8b-53d5-a0b4-93316f466585,6f17b9f5-1372-5d3a-a25e-0729361c6dc1,python-ai-temelleri-m3-l3,Mini proje: metin temizleme hazırlığı,mixed,3,16,24,published
028127ff-5317-503a-b0d2-7f7e30638025,aa8cfb67-6291-5f8a-a83d-9b18c19199fa,numpy-pandas-veri-m1-l1,Array yapısı ve vektörleştirme,video,1,16,20,published
cf8c3a1b-620e-5eda-950f-2bcb7bd4b07f,aa8cfb67-6291-5f8a-a83d-9b18c19199fa,numpy-pandas-veri-m1-l2,Broadcasting ve indeksleme,reading,2,16,20,published
a9cf8393-0590-5fef-b53f-ac516eac032a,aa8cfb67-6291-5f8a-a83d-9b18c19199fa,numpy-pandas-veri-m1-l3,Matris işlemleri ve rastgelelik,mixed,3,16,20,published
d9ff3461-8273-5d3e-9b83-f2a321e141b4,6e11b35e-f7b3-58cb-8e57-06987cbc7ad3,numpy-pandas-veri-m2-l1,DataFrame okuma ve keşif,video,1,16,22,published
39080644-63a5-58a2-b8c5-aa10bdb01f1c,6e11b35e-f7b3-58cb-8e57-06987cbc7ad3,numpy-pandas-veri-m2-l2,"Filtreleme, gruplama ve birleştirme",reading,2,16,22,published
b95466f3-6ac3-5605-a3f8-febf7cdb4f69,6e11b35e-f7b3-58cb-8e57-06987cbc7ad3,numpy-pandas-veri-m2-l3,Eksik veri ve aykırı değer işlemleri,mixed,3,16,22,published
39e216b6-6ff8-5d3d-99f6-a404af0a0438,a058f7e7-8879-5a5e-be3b-b28ddefdbf32,numpy-pandas-veri-m3-l1,Sayısal özellik ölçekleme,video,1,16,24,published
8e5c9aaf-a5f7-5f4f-9a83-b604e76f60e4,a058f7e7-8879-5a5e-be3b-b28ddefdbf32,numpy-pandas-veri-m3-l2,Kategorik özellik kodlama,reading,2,16,24,published
8d61f073-44db-51c2-9e31-7afa59ba3544,a058f7e7-8879-5a5e-be3b-b28ddefdbf32,numpy-pandas-veri-m3-l3,Eğitim/test ayrımı ve veri sızıntısı,mixed,3,16,24,published
f7cf0462-f76d-5393-a1c8-09d0ece57ef6,3ae0a119-c7bb-5e62-bac4-f75fea8a487d,matematik-istatistik-ai-m1-l1,"Vektör, matris ve tensör kavramı",video,1,16,20,published
6c75b14e-8892-50f3-87f4-6ec28220ffdf,3ae0a119-c7bb-5e62-bac4-f75fea8a487d,matematik-istatistik-ai-m1-l2,"Norm, mesafe ve benzerlik",reading,2,16,20,published
ff1364d9-20f1-5d82-af06-6ea32d066d7b,3ae0a119-c7bb-5e62-bac4-f75fea8a487d,matematik-istatistik-ai-m1-l3,Matris çarpımıyla özellik dönüşümü,mixed,3,16,20,published
afc64722-9797-559c-8556-727f8a5c98fe,d052e5d8-61ad-5338-8b23-eababe308ef9,matematik-istatistik-ai-m2-l1,Rastgele değişken ve beklenen değer,video,1,16,22,published
15329bfa-5d9f-57d5-8825-004ede5da288,d052e5d8-61ad-5338-8b23-eababe308ef9,matematik-istatistik-ai-m2-l2,"Normal, Bernoulli ve kategorik dağılımlar",reading,2,16,22,published
a5e85991-dff7-5b09-8b6e-13a7a0a825f1,d052e5d8-61ad-5338-8b23-eababe308ef9,matematik-istatistik-ai-m2-l3,Bayes sezgisi ve belirsizlik,mixed,3,16,22,published
749a823c-3305-56df-8906-0bc67df9dc8d,c62db22a-2c91-51cc-9e6c-efa9da562d14,matematik-istatistik-ai-m3-l1,Sınıflandırma metrikleri,video,1,16,24,published
1adaa87b-33ef-504c-9a27-b21df6fb795c,c62db22a-2c91-51cc-9e6c-efa9da562d14,matematik-istatistik-ai-m3-l2,Regresyon metrikleri,reading,2,16,24,published
cc29d04a-0ba9-5b5d-857d-9c9f34244c9b,c62db22a-2c91-51cc-9e6c-efa9da562d14,matematik-istatistik-ai-m3-l3,Güven aralığı ve örnekleme yanlılığı,mixed,3,16,24,published
ce12fbb1-8543-5947-a3b9-4374c2f37666,e6832acf-5f40-5831-bc2c-580c7cdeafd5,makine-ogrenmesi-temelleri-m1-l1,Problem tipini sınıflandırma,video,1,16,20,published
766fa3b5-2fca-5a3f-a39a-031029787296,e6832acf-5f40-5831-bc2c-580c7cdeafd5,makine-ogrenmesi-temelleri-m1-l2,Regresyon ve sınıflandırma algoritmaları,reading,2,16,20,published
a538664c-4c1c-5561-a1f7-48571cc09d10,e6832acf-5f40-5831-bc2c-580c7cdeafd5,makine-ogrenmesi-temelleri-m1-l3,Train/validation/test ayrımı,mixed,3,16,20,published
e8303683-6b63-57a8-a5ec-63c20311d804,28d968f5-a5a7-52d3-a6bc-88108bbac498,makine-ogrenmesi-temelleri-m2-l1,K-means ve müşteri segmentasyonu,video,1,16,22,published
7c8fc8d1-7d0e-5aee-83ce-14fbb0e50e47,28d968f5-a5a7-52d3-a6bc-88108bbac498,makine-ogrenmesi-temelleri-m2-l2,Boyut indirgeme sezgisi,reading,2,16,22,published
e5b13d55-160d-5d57-8dd1-6a6c7a9d1b29,28d968f5-a5a7-52d3-a6bc-88108bbac498,makine-ogrenmesi-temelleri-m2-l3,Anomali tespiti ve küme değerlendirme,mixed,3,16,22,published
c4fd1547-735e-5b3f-8c44-354576d61bb2,ec62f943-94b9-5094-b36e-7c5dc46c8c04,makine-ogrenmesi-temelleri-m3-l1,Ön işleme pipeline kurma,video,1,16,24,published
f13c74a6-1c53-5412-904c-a4ac1401b674,ec62f943-94b9-5094-b36e-7c5dc46c8c04,makine-ogrenmesi-temelleri-m3-l2,Cross-validation ve leakage kontrolü,reading,2,16,24,published
48d774e6-bc03-5602-8891-9f5b7bbd1311,ec62f943-94b9-5094-b36e-7c5dc46c8c04,makine-ogrenmesi-temelleri-m3-l3,Baseline modelden iyileştirmeye geçiş,mixed,3,16,24,published
76204e6b-4947-5c17-829b-d6b7dbfdac04,968856e6-d60d-52b6-8372-4e3375e58521,neural-networks-101-m1-l1,Nöron modeli ve ağırlıklı toplam,video,1,16,20,published
ed98bc72-44ff-53e6-bb9b-e8211a092fd4,968856e6-d60d-52b6-8372-4e3375e58521,neural-networks-101-m1-l2,Aktivasyon fonksiyonları,reading,2,16,20,published
6e4c9822-4972-5059-a4f1-a5d67b154182,968856e6-d60d-52b6-8372-4e3375e58521,neural-networks-101-m1-l3,Tek katmanlı karar sınırı,mixed,3,16,20,published
06190ec4-2673-5b7d-870b-57e1d0fb2e92,63b4a6d0-6348-53b4-8e7d-e12f31917d46,neural-networks-101-m2-l1,Loss fonksiyonu seçimi,video,1,16,22,published
4a254d63-fbd5-53be-8cd0-6f13a7d8971b,63b4a6d0-6348-53b4-8e7d-e12f31917d46,neural-networks-101-m2-l2,Gradient descent sezgisi,reading,2,16,22,published
7bb29e24-b2b2-572f-b0bc-bc34a19bf10e,63b4a6d0-6348-53b4-8e7d-e12f31917d46,neural-networks-101-m2-l3,Learning rate ve stabil eğitim,mixed,3,16,22,published
3a74b02d-d7e6-59d3-9b20-d4cef361c98a,b16c9abe-836f-5d19-88bf-e39b3e294430,neural-networks-101-m3-l1,Zincir kuralı ile geri yayılım,video,1,16,24,published
7a4a15da-58af-5eeb-b4f6-78ab98bdb325,b16c9abe-836f-5d19-88bf-e39b3e294430,neural-networks-101-m3-l2,Ağırlık güncelleme adımları,reading,2,16,24,published
52aaa647-177b-5a52-a15f-79e9c5cd61e9,b16c9abe-836f-5d19-88bf-e39b3e294430,neural-networks-101-m3-l3,Mini-batch eğitim ve overfitting,mixed,3,16,24,published
6b4b4bb0-8ce5-5130-8fb9-44acb017732e,18a06440-e256-5a5c-a6c6-6c6b00ef46bc,model-degerlendirme-deneyler-m1-l1,"Precision, recall ve F1 seçimi",video,1,16,20,published
d11df183-cab7-560b-a35b-86d636bae2ba,18a06440-e256-5a5c-a6c6-6c6b00ef46bc,model-degerlendirme-deneyler-m1-l2,ROC-AUC ve threshold ayarı,reading,2,16,20,published
f93cfbf9-b7c4-5d4f-9ad0-220bed016986,18a06440-e256-5a5c-a6c6-6c6b00ef46bc,model-degerlendirme-deneyler-m1-l3,İş metriği ile model metriği bağlama,mixed,3,16,20,published
2ee6c1b5-1a93-5727-a3e4-7a64fcd89f84,0818cf44-c247-54e4-9beb-4ecac9dcc8cc,model-degerlendirme-deneyler-m2-l1,Deney hipotezi yazma,video,1,16,22,published
a678ed4e-bc7c-5aaa-aed0-aefbf260f6be,0818cf44-c247-54e4-9beb-4ecac9dcc8cc,model-degerlendirme-deneyler-m2-l2,Parametre ve metrik kayıtları,reading,2,16,22,published
914ec2d8-1a95-5e4f-ae33-ccafc53f2c0a,0818cf44-c247-54e4-9beb-4ecac9dcc8cc,model-degerlendirme-deneyler-m2-l3,Sonuç karşılaştırma ve model kartı,mixed,3,16,22,published
